SKU,Product Name,Item Category,Description,Price,# Photos,Main Image File
BP_BButterfly_PBP,Beaded Pen - Blue Butterfly (Pattern Basic Pen),Beaded Pen,Blue butterfly charm – pattern basic pen,$6,4,BP_BButterfly_PBP_2.jpg
BP_BButterfly_PatBP,Beaded Pen - Blue Butterfly (Pattern Basic Pen) v2,Beaded Pen,Blue butterfly charm – pattern basic pen (variant),$6,1,BP_BButterfly_PatBP.jpg
BP_BCat_YellowSP,Beaded Pen - Blue Cat (Yellow Sparkle Pen),Beaded Pen,Blue cat charm – yellow sparkle pen,$6,4,BP_BCat_YellowSP.jpg
BP_Beads_LPinkBP,Beaded Pen - Decorative Beads (Light Pink Basic Pen),Beaded Pen,Galaxy/swirl decorative beads – light pink basic pen,$6,3,BP_Beads_LPinkBP.jpg
BP_BlackHorse_PinkBP,Beaded Pen - Black Horse (Pink Basic Pen),Beaded Pen,Black horse charm – pink basic pen,$6,3,BP_BlackHorse_PinkBP.jpg
BP_BlueAlien_BP,Beaded Pen - Blue Alien (Basic Pen),Beaded Pen,Blue alien charm – basic pen,$6,3,BP_BlueAlien_BP.jpg
BP_BubbleTea_BrownBP,Beaded Pen - Bubble Tea (Brown Basic Pen),Beaded Pen,Bubble tea charm – brown basic pen,$6,3,BP_BubbleTea_BrownBP.jpg
BP_CoffeeCup_GoldBP,Beaded Pen - Coffee Cup (Gold Basic Pen),Beaded Pen,Coffee cup charm – gold basic pen,$6,3,BP_CoffeeCup_GoldBP.jpg
BP_FB_Gold_BP,Beaded Pen - Football (Gold Basic Pen),Beaded Pen,Football charm – gold basic pen,$6,3,BP_FB_Gold_BP.jpg
BP_FB_Tan_BP,Beaded Pen - Football (Tan Basic Pen),Beaded Pen,Football charm – tan basic pen,$6,3,BP_FB_Tan_BP.jpg
BP_GButterfly_BP,Beaded Pen - Green Butterfly (Basic Pen),Beaded Pen,Green butterfly charm – basic pen,$6,4,BP_GButterfly_BP.jpg
BP_GElelphant_GreySP,Beaded Pen - Baby Elephant (Grey Sparkle Pen),Beaded Pen,Baby elephant charm – grey sparkle pen,$6,5,BP_GElelphant_GreySP.jpg
BP_GElelphant_PinkSP,Beaded Pen - Baby Elephant (Pink Sparkle Pen),Beaded Pen,Baby elephant charm – pink sparkle pen,$6,4,BP_GElelphant_PinkSP.jpg
