Product,Item Category,Comments,Wholesale Price,Picture
BO8-29,brooch,20 round diamondmond 0.50ct  1 round ruby 0.10ct  blue and green enamel   ,2200,https://raw.githubusercontent.com/StxChange/Images/main/BO8- 29 sailfish enamel & dia.JPG
BO8-33,brooch,1 oval cabochon aquamarine 15.00ct   8.2dwt    ,1300,https://raw.githubusercontent.com/StxChange/Images/main/BO8- 33  G fish w aquamarine.JPG
BO8-42,brooch,round diamondmond 3.20ct  snail  10.8dwt    ,5500,https://raw.githubusercontent.com/StxChange/Images/main/BO8- 42   D snail.jpg
BO8-46a,brooch,66 round emeralds  1.80ct tw  5dwt    ,1500,https://raw.githubusercontent.com/StxChange/Images/main/BO8- 46a GS Frog with rd emeralds yg.JPG
BO8-77,brooch,12 round brilliant-cut diamondmonds weighing a total of 1.02ct   6.6dwt    ,3000,https://raw.githubusercontent.com/StxChange/Images/main/BO8- 77 D flower brooch wg with rd dia.JPG
BO8-79,brooch,35 round diamondmond 1.20ct  1 aquamarine 5.15ct  8.6dwt    ,3900,https://raw.githubusercontent.com/StxChange/Images/main/BO8- 79  GS aqua & dia long stem.jpg
BO8-85,brooch,71 round diamondmond 3.05ct  VSF-G green enamel  16dwt    ,6900,https://raw.githubusercontent.com/StxChange/Images/main/BO8- 85   D lge yw dia leaf w gr enam.jpg
BO8-96,brooch,one is in 18KWG  and one is in 14KYG  4.2dwt   ,750,https://raw.githubusercontent.com/StxChange/Images/main/BO8- 96 G golf tie bar yg.JPG
BO8-97,brooch,sold  remade one in 18KWG   3.2dwt    ,550,https://raw.githubusercontent.com/StxChange/Images/main/BO8- 97 G golf tie bar yg.JPG
BO8-98,brooch,plain gold Tiffany seagull  2.8dwt    ,250,https://raw.githubusercontent.com/StxChange/Images/main/BO8- 98 G tiffany seagull yg.JPG
HMBO-3,brooch,60 round diamondmond 1.50ct  11.2dwt    ,4000,https://raw.githubusercontent.com/StxChange/Images/main/HMBO-  3   D bow dia edged.jpg
HMBO-31,brooch,6 round diamond 0.30ct total weight  2 caboshon sapph 0.10ct  South Sea pearl  6.9dwt    ,2500,https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 31 P yg fly pearl body with rd dia & sap eyes.JPG
HMBO-39,brooch,6 briolette sapphires 3.94ct tw  87 round diamond 1.48ct tw  4.8dwt    12/19,2100,https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 39 GS rd dia and colored sap.JPG
HMBO-47,brooch,2 round diamond 0.10ct tw  1 malachite  2 lapis lazuli  12.3dwt   ,950,"https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 47 GS rd dia, lapis lazuli & malachite owl yg.JPG"
HMBO-64,brooch,18 round diamond 1.70ct tw   4dwt   ,3200,https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 64 Large fly w rd dia.JPG
HMBO-69,brooch,1 oval pearl 15.5x16mm  194 round diamond 1.50ct tw  enamel   13.2dwt    ,3900,https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 69 Flamingo w rd dia&pearl .JPG
HMBO-72,brooch,5.3dwt    ,550,https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 72 Running dog yg.JPG
HMBO-74,brooch,1 heart-shape cabochon tourmaline 4ct  1 oval cabochon rubelite 2ct  4.5dwt    ,700,https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 74 GS Tourmaline&rubelite bee yg.JPG
HMBO-84,brooch,8.7dwt    ,1800,https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 84 GS Gold turtle w jade yg.JPG
HMBO-88,brooch,,880,https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 88 D Rabit pin w rd dia yg.JPG
HMBO-90,brooch,,950,https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 90 D Diamond bow w rd dia yg.JPG
HMBO-91,brooch,,650,https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 91 D Rabbit w sapph and dia yg .JPG
HMBO-93,brooch,,550,https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 93 G Enameled flower pin yg.JPG
HMBO-95,brooch,,600,"https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 95 Bumble bee w mop, turq, ruby wg.JPG"
HMBO-86,brooch,,1950,https://raw.githubusercontent.com/StxChange/Images/main/HMBO- 86 D Antique flower brooch w rd dia wg .jpg
